Farbe,Preis,Material,Structure1,Structure_2,Structure_3,Structure_4,outfit_id,object_id
grau,"59,90 EUR","""Obermaterial: 40% Wolle",Frauen,Bekleidung,Große Größen,Pullover & Strick,/o/lena-gercke-weekend-look-by-leger-by-lena-gercke-9787,/p/leger-by-lena-gercke/pullover-mila-mit-kaschmiranteil-4022039
grau,,"""Obermaterial: 40% Wolle",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-gercke-weekend-look-by-leger-by-lena-gercke-9787,/p/leger-by-lena-gercke/hose-lou-4022353
grau,"49,90 EUR","""Obermaterial: 65% Baumwolle",Frauen,Bekleidung,Sweat,Hoodies,/o/lena-gercke-easy-basic-look-by-leger-by-lena-gercke-9799,/p/leger-by-lena-gercke/hoodie-hayley-4022325
Blau,,"""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Jeans,Straight Leg,/o/lena-gercke-easy-basic-look-by-leger-by-lena-gercke-9799,/p/leger-by-lena-gercke/jeans-lorin-4022024
schwarz,"29,90 EUR","""Obermaterial: 97% Baumwolle",Frauen,Bekleidung,Shirts & Tops,Shirts,/o/lena-gercke-chic-black-look-by-leger-by-lena-gercke-15218,/p/leger-by-lena-gercke/shirt-isabell-5596329
schwarz,"39,90 EUR","""Obermaterial: 95% Nylon",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-gercke-chic-black-look-by-leger-by-lena-gercke-15218,/p/leger-by-lena-gercke/hose-valerie-5596290
,,"""Obermaterial:  Leder",Frauen,Schuhe,Sandalen,Sandaletten,/o/lena-gercke-chic-black-look-by-leger-by-lena-gercke-15218,/p/mango/sandaletten-cora-4617195
weiß,"39,90 EUR","""Obermaterial: 65% Baumwolle",Frauen,Bekleidung,Sweat,Sweatshirts,/o/lena-gercke-comfy-white-lounge-look-by-leger-by-lena-gercke-15817,/p/leger-by-lena-gercke/sweatshirt-rosa-6570129
weiß,"49,90 EUR","""Obermaterial: 65% Baumwolle",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-gercke-comfy-white-lounge-look-by-leger-by-lena-gercke-15817,/p/leger-by-lena-gercke/hose-ruby-6569870
,,"""Obermaterial:  Metall""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-gercke-comfy-white-lounge-look-by-leger-by-lena-gercke-15817,/p/leger-by-lena-gercke/ring-carla-5705415
creme,,"""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Shirts & Tops,Shirts,/o/lena-gercke-cozy-off-white-sweat-look-by-leger-by-lena-gercke-15818,/p/leger-by-lena-gercke/shirt-eliza-6570120
creme,"34,90 EUR","""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-gercke-cozy-off-white-sweat-look-by-leger-by-lena-gercke-15818,/p/leger-by-lena-gercke/shorts-eliane-6551782
weiß,"24,90 EUR","""Obermaterial: 95% Polyester",Frauen,Bekleidung,Shirts & Tops,Tops,/o/lena-gercke-simple-cropped-look-by-leger-by-lena-gercke-15819,/p/leger-by-lena-gercke/top-keela-6570103
hellblau,"59,90 EUR","""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Jeans,Boyfriend,/o/lena-gercke-simple-cropped-look-by-leger-by-lena-gercke-15819,/p/leger-by-lena-gercke/jeans-line-5907163
,,"""Obermaterial:  Leder""",Frauen,Schuhe,Sneaker,Sneaker Low,/o/lena-gercke-simple-cropped-look-by-leger-by-lena-gercke-15819,/p/adidas-originals/sneaker-supercourt-xx-5219846
,,"""Obermaterial: 97% Baumwolle",Frauen,Bekleidung,Große Größen,Kleider,/o/lena-gercke-beige-bodycon-dress-look-by-leger-by-lena-gercke-15220,/p/leger-by-lena-gercke/kleid-meike-5596333
,,"""Obermaterial:  Synthetik""",Frauen,Schuhe,Stiefel,Overknees,/o/lena-gercke-beige-bodycon-dress-look-by-leger-by-lena-gercke-15220,/p/bullboxer/stiefel-5018432
,,"""Material: 92% Viskose",Frauen,Bekleidung,Große Größen,Pullover & Strick,/o/lena-meyer-landrut-comfy-beige-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16531,/p/a-lot-less/top-effie-6792915
beige,,"""Material: 92% Viskose",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-meyer-landrut-comfy-beige-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16531,/p/a-lot-less/hose-fenja-6792735
creme,"59,90 EUR","""Material: 100% Baumwolle""",Frauen,Bekleidung,Sweat,Sweatshirts,/o/lena-meyer-landrut-striped-comfy-look-by-a-lot-less-by-lena-meyer-landrut-18865,/p/a-lot-less/sweatshirt-carla-7841736
schoko,,"""Material: 92% Viskose",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-meyer-landrut-striped-comfy-look-by-a-lot-less-by-lena-meyer-landrut-18865,/p/a-lot-less/shorts-charlotte-7839311
offwhite,,"""Material: 92% Viskose",Frauen,Bekleidung,Große Größen,Kleider,/o/lena-meyer-landrut-minimalistic-dress-look-by-a-lot-less-by-lena-meyer-landrut-18866,/p/a-lot-less/kleid-kalyn-7839224
schoko,,"""Material: 100% Viskose""",Frauen,Bekleidung,Große Größen,Kleider,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/a-lot-less/kleid-ela-6792208
gold,"99,90 EUR","""Material:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/christ/ring-5138089
,,"""Obermaterial:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/christ/ring-5148699
weiß,"99,90 EUR","""Obermaterial:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/christ/ring-5134273
,"79,90 EUR","""Material:  Silber 925",Frauen,Accessoires,Schmuck,Ohrringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/elli/ohrringe-4601359
gold,"99,90 EUR","""Material:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/christ/ring-4530721
,,"""Material:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/elli-premium/ring-4363469
,"139,00 EUR","""Material:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/elli-premium/ring-bandring-4427601
naturweiß,"59,90 EUR","""Material: 100% Baumwolle""",Frauen,Bekleidung,Sweat,Sweatshirts,/o/lena-meyer-landrut-comfy-off-white-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16521,/p/a-lot-less/sweatshirt-haven-gots-6791907
offwhite,,"""Material: 100% Baumwolle""",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-meyer-landrut-comfy-off-white-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16521,/p/a-lot-less/hose-ida-gots-6792216
,,"""Material:  Silber 925""",Frauen,Accessoires,Schmuck,Ketten,/o/lena-meyer-landrut-comfy-off-white-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16521,/p/noelani/collier-5294091
weiß,"99,90 EUR","""Obermaterial:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-comfy-off-white-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16521,/p/christ/ring-5134273
grün,,"""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Pullover & Strick,Strick,/o/lena-meyer-landrut-simple-comfy-look-by-a-lot-less-by-lena-meyer-landrut-18869,/p/a-lot-less/cardigan-leanna-7787330
anthrazit,"99,90 EUR","""Obermaterial: 55% Viskose",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-meyer-landrut-simple-comfy-look-by-a-lot-less-by-lena-meyer-landrut-18869,/p/a-lot-less/hose-florentina-7787664
offwhite,"54,90 EUR","""Material: 92% Viskose",Frauen,Bekleidung,Shirts & Tops,Shirts,/o/lena-meyer-landrut-light-minimalistic-look-by-a-lot-less-by-lena-meyer-landrut-18867,/p/a-lot-less/shirt-rosalie-7839197
offwhite,"79,90 EUR","""Material: 75% Viskose",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-meyer-landrut-light-minimalistic-look-by-a-lot-less-by-lena-meyer-landrut-18867,/p/a-lot-less/hose-elisa-7839348
grau,"199,95 EUR","""Material: 100% Schurwolle""",Männer,Bekleidung,Anzüge & Sakkos,Anzug-Sakkos,/o/stefanie-giesinger-casual-business-look-18777,/p/daniel-hechter/sakko-burgund-4400680
silber,"69,90 EUR","""Material: 100% Baumwolle""",Männer,Bekleidung,Hemden,Business Hemden,/o/stefanie-giesinger-casual-business-look-18777,/p/hugo/hemd-elisha02-7318095
blau,"79,99 EUR","""Zusammensetzung: 100% Baumwolle""",Männer,Bekleidung,Hemden,Business Hemden,/o/stefanie-giesinger-casual-business-look-18777,/p/eterna/hemd-7607138
schwarz,"129,00 EUR","""Obermaterial: 100% Wolle""",Frauen,Bekleidung,Große Größen,Hosen,/o/stefanie-giesinger-casual-business-look-18777,/p/about-you-x-marie-von-behrens/hose-suki-7436514
,,"""Obermaterial:  Synthetik",Frauen,Schuhe,Sneaker,Sneaker Low,/o/stefanie-giesinger-casual-business-look-18777,/p/nike-sportswear/sneaker-zoom-air-fire-7460804
,"69,00 EUR","""Material: 100% Seide""",Männer,Accessoires,Anzug - Accessoires,Krawatten,/o/stefanie-giesinger-casual-business-look-18777,/p/bgents/krawatte-7367143
,,"""Material:  Metall""",Frauen,Accessoires,Schmuck,Ringe,/o/stefanie-giesinger-casual-business-look-18777,/p/pilgrim/ring-compassion-5063836
,"34,90 EUR","""Material:  Metall""",Frauen,Accessoires,Schmuck,Ringe,/o/stefanie-giesinger-casual-business-look-18777,/p/pilgrim/ring-reconnect-6902679
,"34,90 EUR","""Material:  Metall""",Frauen,Accessoires,Schmuck,Ringe,/o/stefanie-giesinger-casual-business-look-18777,/p/pilgrim/ring-compass-5583395
,"ab 26,99 EUR","""Obermaterial: 20% Elasthan",Frauen,Bekleidung,Wäsche,Bodies,/o/stefanie-giesinger-colorful-mesh-mix-look-18776,/p/nuance/body-227870
mischfarben,"44,90 EUR","""Material: 94% Polyester",Frauen,Bekleidung,Kleider,Minikleider,/o/stefanie-giesinger-colorful-mesh-mix-look-18776,/p/weekday/kleid-valley-7131145
,"429,00 EUR","""Obermaterial:  Leder""",Frauen,Schuhe,Pantoletten,Pantoletten mit Absatz,/o/stefanie-giesinger-colorful-mesh-mix-look-18776,/p/gcds/pantolette-7696329
,,"""Obermaterial:  Textil""",Frauen,Accessoires,Taschen & Rucksäcke,Taschen,/o/stefanie-giesinger-colorful-mesh-mix-look-18776,/p/juicy-couture/schultertasche-7397858
,"195,00 EUR","""Material:  Metall""",Frauen,Accessoires,Schmuck,Ringe,/o/stefanie-giesinger-colorful-mesh-mix-look-18776,/p/swarovski/ring-7336270
,"195,00 EUR","""Material:  Metall",Frauen,Accessoires,Schmuck,Ringe,/o/stefanie-giesinger-colorful-mesh-mix-look-18776,/p/swarovski/ring-7337369
rosa,,"""Obermaterial: 88% Nylon",Frauen,Bekleidung,Bademode,Bikinis,/o/stefanie-giesinger-bikini-denim-look-18775,/p/viervier/bikinitop-katja-6930241
Blau,"39,90 EUR","""Obermaterial: 98% Baumwolle",Frauen,Bekleidung,Röcke,Miniröcke,/o/stefanie-giesinger-bikini-denim-look-18775,/p/ltb/rock-andrea-4118607
,,"""Obermaterial:  Textil""",Frauen,Schuhe,Sandalen,Plateau-Sandalen,/o/stefanie-giesinger-bikini-denim-look-18775,/p/camper/sandale-trisha-4765081
,,"""Enthält nichttextile Teile tierischen Ursprungs: ja""",Frauen,Second Love,Accessoires,Taschen & Rucksäcke,/o/stefanie-giesinger-bikini-denim-look-18775,/p/mansur-gavriel/abendtasche-in-one-size-7670041
,"139,00 EUR","""Material:  Metall""",Frauen,Accessoires,Sonnenbrillen,VOGUE Eyewear Sonnenbrillen,/o/stefanie-giesinger-bikini-denim-look-18775,/p/vogue-eyewear/sonnenbrille-g-vision-4261500
pink,"49,90 EUR","""Zusammensetzung: 100% Leder""",Frauen,Accessoires,Gürtel,Casual Gürtel,/o/stefanie-giesinger-bikini-denim-look-18775,/p/rettungsring-by-showroom-019/ledergurtel-4465371
,,"""Material:  Metall""",Frauen,Accessoires,Schmuck,Ohrringe,/o/stefanie-giesinger-bikini-denim-look-18775,/p/swarovski/ohrring-7336341
weiß,"65,00 EUR","""Material:  Glas",Frauen,Accessoires,Schmuck,Armbänder,/o/stefanie-giesinger-bikini-denim-look-18775,/p/swarovski/armband-letra-7104911
,"115,00 EUR","""Zusammensetzung:  Aluminium",Frauen,Accessoires,Schmuck,Armbänder,/o/stefanie-giesinger-bikini-denim-look-18775,/p/swarovski/armband-7318759
grün / dunkelgrün / petrol,"65,00 EUR","""Material:  Glas",Frauen,Accessoires,Schmuck,Armbänder,/o/stefanie-giesinger-bikini-denim-look-18775,/p/swarovski/armband-letra-7104825
rosa,"65,00 EUR","""Material:  Glas",Frauen,Accessoires,Schmuck,Armbänder,/o/stefanie-giesinger-bikini-denim-look-18775,/p/swarovski/armband-letra-7104836
Blau,"65,00 EUR","""Material:  Baumwolle",Frauen,Accessoires,Schmuck,Armbänder,/o/stefanie-giesinger-bikini-denim-look-18775,/p/swarovski/armband-letra-7104981
,,"""Obermaterial: 100% Polyester""",Frauen,Bekleidung,Jacken,Übergangsjacken,/o/stefanie-giesinger-bold-layering-look-18780,/p/leger-by-lena-gercke/jacke-jale-7567094
,,"""Zusammensetzung: 100% Wolle""",Frauen,Bekleidung,Shirts & Tops,Shirts,/o/stefanie-giesinger-bold-layering-look-18780,/p/12storeez/langarmbody-7651498
,"34,90 EUR","""Material: 77% Nylon",Frauen,Bekleidung,Große Größen,Wäsche,/o/stefanie-giesinger-bold-layering-look-18780,/p/calvin-klein-underwear/bh-7688806
,,"""Obermaterial: 100% Polyester""",Frauen,Bekleidung,Große Größen,Hosen,/o/stefanie-giesinger-bold-layering-look-18780,/p/leger-by-lena-gercke/hose-joreen-7566937
,,"""Obermaterial:  Synthetik""",Frauen,Sport,Sportarten,Outdoor,/o/stefanie-giesinger-bold-layering-look-18780,/p/mckinley/winterstiefel-emily-4512101
senf,"19,99 EUR","""Oberstoff: 63% Baumwolle",Frauen,Bekleidung,Wäsche,Socken & Strümpfe,/o/stefanie-giesinger-bold-layering-look-18780,/p/ulla-popken/kniestrumpfe-7485495
,,"""Material: 100% Polyester""",Frauen,Sport,Sportarten,Outdoor,/o/stefanie-giesinger-bold-layering-look-18780,/p/odlo/sturmhaube-active-warm-eco-7192355
,"69,00 EUR","""Material: 100% Leder""",Frauen,Accessoires,Handschuhe,Akaroa Handschuhe,/o/stefanie-giesinger-bold-layering-look-18780,/p/akaroa/handschuhe-sue-7606007
marine,"49,99 EUR","""Zusammensetzung: 80% Wolle",Frauen,Accessoires,Schals & Tücher,Schals,/o/stefanie-giesinger-bold-layering-look-18780,/p/superdry/schal-7451966
,"ab 39,00 EUR","""Obermaterial: 4% Baumwolle",Frauen,Bekleidung,Wäsche,Bodies,/o/zoe-saibou-bodysuit-look-by-lascana-18424,/p/lascana/stringbody-2188669
silber,"24,90 EUR","""Obermaterial:  Messing""",Frauen,Accessoires,Schmuck,Ohrringe,/o/zoe-saibou-bodysuit-look-by-lascana-18424,/p/leger-by-lena-gercke/ohrringe-fergie-7106592
rot,"29,99 EUR","""Material: 95% Polyamid",Frauen,Bekleidung,Wäsche,Dessous,/o/zoe-saibou-red-lingerie-look-by-lascana-18423,/p/lascana/bh-3510735
aubergine,"ab 16,99 EUR","""Obermaterial: 10% Elasthan",Frauen,Bekleidung,Wäsche,Unterteile,/o/zoe-saibou-red-lingerie-look-by-lascana-18423,/p/lascana/string-6819557
,,"""Obermaterial:  Messing""",Ohrringe 'Jolanda',robots,description,Ohrringe 'Jolanda',/o/zoe-saibou-red-lingerie-look-by-lascana-18423,/p/leger-by-lena-gercke/ohrringe-jolanda-7106542
creme,,"""Obermaterial: 5% Elasthan",Frauen,Bekleidung,Wäsche,BHs,/o/zoe-saibou-creme-lace-look-by-lascana-18425,/p/lascana/bh-2004485
Weiß,"ab 15,00 EUR","""Obermaterial: 5% Baumwolle",Frauen,Bekleidung,Wäsche,Unterteile,/o/zoe-saibou-creme-lace-look-by-lascana-18425,/p/lascana/string-2035810
hellgrau,"49,99 EUR","""Obermaterial: 25% Polyester",Frauen,Bekleidung,Große Größen,Hosen,/o/zoe-saibou-creme-lace-look-by-lascana-18425,/p/lascana/hose-7036983
beige,"39,99 EUR","""Obermaterial:  Synthetik""",Frauen,Schuhe,Pantoletten,Klassische Pantoletten,/o/zoe-saibou-creme-lace-look-by-lascana-18425,/p/lascana/pantolette-7083870
,"16,90 EUR","""Obermaterial:  Metall""",Frauen,Accessoires,Schmuck,Ketten,/o/zoe-saibou-creme-lace-look-by-lascana-18425,/p/lascana/kette-7509121
,,"""Material: 99% Baumwolle",Frauen,Bekleidung,Jacken,Jeansjacken,/o/zoe-saibou-casual-denim-allover-look-18596,/p/edited/jacke-sarah-6953086
,"59,90 EUR","""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Jeans,Bootcut,/o/zoe-saibou-casual-denim-allover-look-18596,/p/kendall-for-about-you/jeans-hailey-7397934
,"200,00 EUR","""Zusammensetzung:  Leder""",Frauen,Schuhe,Stiefeletten,Klassische Stiefeletten,/o/zoe-saibou-casual-denim-allover-look-18596,/p/ekonika/stiefeletten-7457827
,,"""Futter:  Polyester""",Frauen,Accessoires,Taschen & Rucksäcke,Taschen,/o/zoe-saibou-casual-denim-allover-look-18596,/p/mango/handtasche-samantha-7470345
beige,"24,90 EUR","""Obermaterial: 65% Viskose",Frauen,Bekleidung,Große Größen,Shirts & Tops,/o/zoe-saibou-elegant-brown-leather-look-18594,/p/leger-by-lena-gercke/top-anja-7445927
,,"""Material: 100% Leder""",Frauen,Bekleidung,Hosen,Lederhosen,/o/zoe-saibou-elegant-brown-leather-look-18594,/p/day-birger-et-mikkelsen/hose-jagger-7498825
